"Series Code","Topic","Indicator Name","Short definition","Long definition","Unit of measure","Periodicity","Base Period","Other notes","Aggregation method","Limitations and exceptions","Notes from original source","General comments","Source","Statistical concept and methodology","Development relevance","Related source links","Other web links","Related indicators","License Type",
"SG.OWN.LDJT.FE.ZS","Gender","Women who own land jointly (% of women age 15-49)","","Women who own land jointly (% of women age 15-49) is the percentage of women age 15-49 who only jointly own a land, which legally registered with their name or cannot be sold without their signature, with someone else. ""Only jointly"" implies the woman doesn’t own a land on her own, but instead jointly owns one with someone else.","","Annual","","","","","","","Demographic and Health Surveys (DHS)","Women who own land jointly is the number of women age 15-49 who say the only type of land they own is the one they own with someone esle, expressed as percentage of women age 15-49 who have been interviewed and It’s derived by dividing the number of women age 15-49 who responded they only jointly with someone else own a land which legally registered with their name or can’t be sold without their signature by total number of women age 15-49 who have been interviewed. ‘Ownership’ implies that the land is legally registered in the woman’s name or, since official property records do not always exist or are not maintained, the land is recognized as hers and cannot be sold without her signature or equivalent. ‘land’ includes all agricultural or non-agricultural land. Non-agricultural land refers to rural land that is not used for growing crops, and most land in urban areas.","Ownership of assets, particularly high-value assets, has many beneficial effects for households, including protection against financial ruin. For women in particular, asset ownership is a source of economic empowerment and provides protection in the case of marital dissolution or abandonment. There is increasing evidence that ownership of property by women has positive consequences for women’s empowerment, nutritional and health outcomes, and children’s schooling.","","","","Open",
"SG.OWN.LDJT.MA.Q1.ZS","Gender","Men who own land jointly (% of men): Q1 (lowest)","","Men who own land jointly (% of men): Q1 (lowest) is the percentage of men who only jointly own a land, which legally registered with their name or cannot be sold without their signature, with someone else. ""Only jointly"" implies the man doesn’t own a land on his own, but instead jointly owns one with someone else. Each wealth quintile represents one fifth of households with quintile 1 being the poorest 20 percent of households and quintile 5 being the richest 20 percent of households.","","Annual","","","","","","","Demographic and Health Surveys (DHS)","Men who own land jointly is the number of men who say the only type of land they own is the one they own with someone esle, expressed as percentage of men who have been interviewed. ‘Ownership’ implies that the land is legally registered in the man's name or, since official property records do not always exist or are not maintained, the land is recognized as his  and cannot be sold without his signature or equivalent. ‘land’ includes all agricultural or non-agricultural land. Non-agricultural land refers to rural land that is not used for growing crops, and most land in urban areas.","Ownership of assets, particularly high-value assets, has many beneficial effects for households, including protection against financial ruin. For women in particular, asset ownership is a source of economic empowerment and provides protection in the case of marital dissolution or abandonment. There is increasing evidence that ownership of property by women has positive consequences for women’s empowerment, nutritional and health outcomes, and children’s schooling.","","","","Open",
"SG.OWN.LDJT.MA.Q2.ZS","Gender","Men who own land jointly (% of men): Q2","","Men who own land jointly (% of men): Q2 is the percentage of men who only jointly own a land, which legally registered with their name or cannot be sold without their signature, with someone else. ""Only jointly"" implies the man doesn’t own a land on his own, but instead jointly owns one with someone else. Each wealth quintile represents one fifth of households with quintile 1 being the poorest 20 percent of households and quintile 5 being the richest 20 percent of households.","","Annual","","","","","","","Demographic and Health Surveys (DHS)","Men who own land jointly is the number of men who say the only type of land they own is the one they own with someone esle, expressed as percentage of men who have been interviewed. ‘Ownership’ implies that the land is legally registered in the man's name or, since official property records do not always exist or are not maintained, the land is recognized as his  and cannot be sold without his signature or equivalent. ‘land’ includes all agricultural or non-agricultural land. Non-agricultural land refers to rural land that is not used for growing crops, and most land in urban areas.","Ownership of assets, particularly high-value assets, has many beneficial effects for households, including protection against financial ruin. For women in particular, asset ownership is a source of economic empowerment and provides protection in the case of marital dissolution or abandonment. There is increasing evidence that ownership of property by women has positive consequences for women’s empowerment, nutritional and health outcomes, and children’s schooling.","","","","Open",
"SG.OWN.LDJT.MA.Q3.ZS","Gender","Men who own land jointly (% of men): Q3","","Men who own land jointly (% of men): Q3 is the percentage of men who only jointly own a land, which legally registered with their name or cannot be sold without their signature, with someone else. ""Only jointly"" implies the man doesn’t own a land on his own, but instead jointly owns one with someone else. Each wealth quintile represents one fifth of households with quintile 1 being the poorest 20 percent of households and quintile 5 being the richest 20 percent of households.","","Annual","","","","","","","Demographic and Health Surveys (DHS)","Men who own land jointly is the number of men who say the only type of land they own is the one they own with someone esle, expressed as percentage of men who have been interviewed. ‘Ownership’ implies that the land is legally registered in the man's name or, since official property records do not always exist or are not maintained, the land is recognized as his  and cannot be sold without his signature or equivalent. ‘land’ includes all agricultural or non-agricultural land. Non-agricultural land refers to rural land that is not used for growing crops, and most land in urban areas.","Ownership of assets, particularly high-value assets, has many beneficial effects for households, including protection against financial ruin. For women in particular, asset ownership is a source of economic empowerment and provides protection in the case of marital dissolution or abandonment. There is increasing evidence that ownership of property by women has positive consequences for women’s empowerment, nutritional and health outcomes, and children’s schooling.","","","","Open",
"SG.OWN.LDJT.MA.Q4.ZS","Gender","Men who own land jointly (% of men): Q4","","Men who own land jointly (% of men): Q4 is the percentage of men who only jointly own a land, which legally registered with their name or cannot be sold without their signature, with someone else. ""Only jointly"" implies the man doesn’t own a land on his own, but instead jointly owns one with someone else. Each wealth quintile represents one fifth of households with quintile 1 being the poorest 20 percent of households and quintile 5 being the richest 20 percent of households.","","Annual","","","","","","","Demographic and Health Surveys (DHS)","Men who own land jointly is the number of men who say the only type of land they own is the one they own with someone esle, expressed as percentage of men who have been interviewed. ‘Ownership’ implies that the land is legally registered in the man's name or, since official property records do not always exist or are not maintained, the land is recognized as his  and cannot be sold without his signature or equivalent. ‘land’ includes all agricultural or non-agricultural land. Non-agricultural land refers to rural land that is not used for growing crops, and most land in urban areas.","Ownership of assets, particularly high-value assets, has many beneficial effects for households, including protection against financial ruin. For women in particular, asset ownership is a source of economic empowerment and provides protection in the case of marital dissolution or abandonment. There is increasing evidence that ownership of property by women has positive consequences for women’s empowerment, nutritional and health outcomes, and children’s schooling.","","","","Open",
"SG.OWN.LDJT.MA.Q5.ZS","Gender","Men who own land jointly (% of men): Q5 (highest)","","Men who own land jointly (% of men): Q5 (highest) is the percentage of men who only jointly own a land, which legally registered with their name or cannot be sold without their signature, with someone else. ""Only jointly"" implies the man doesn’t own a land on his own, but instead jointly owns one with someone else. Each wealth quintile represents one fifth of households with quintile 1 being the poorest 20 percent of households and quintile 5 being the richest 20 percent of households.","","Annual","","","","","","","Demographic and Health Surveys (DHS)","Men who own land jointly is the number of men who say the only type of land they own is the one they own with someone esle, expressed as percentage of men who have been interviewed. ‘Ownership’ implies that the land is legally registered in the man's name or, since official property records do not always exist or are not maintained, the land is recognized as his  and cannot be sold without his signature or equivalent. ‘land’ includes all agricultural or non-agricultural land. Non-agricultural land refers to rural land that is not used for growing crops, and most land in urban areas.","Ownership of assets, particularly high-value assets, has many beneficial effects for households, including protection against financial ruin. For women in particular, asset ownership is a source of economic empowerment and provides protection in the case of marital dissolution or abandonment. There is increasing evidence that ownership of property by women has positive consequences for women’s empowerment, nutritional and health outcomes, and children’s schooling.","","","","Open",
"SG.OWN.LDJT.MA.ZS","Gender","Men who own land jointly (% of men)","","Men who own land jointly (% of men) is the percentage of men who only jointly own a land, which legally registered with their name or cannot be sold without their signature, with someone else. ""Only jointly"" implies the man doesn’t own a land on his own, but instead jointly owns one with someone else.","","Annual","","","","","","","Demographic and Health Surveys (DHS)","Men who own land jointly is the number of men who say the only type of land they own is the one they own with someone else, expressed as percentage of men who have been interviewed and It’s derived by dividing the number of men who responded they only jointly with someone else own a land which legally registered with their name or can’t be sold without their signature by total number of men who have been interviewed. ‘Ownership’ implies that the land is legally registered in the man's name or, since official property records do not always exist or are not maintained, the land is recognized as his  and cannot be sold without his signature or equivalent. ‘land’ includes all agricultural or non-agricultural land. Non-agricultural land refers to rural land that is not used for growing crops, and most land in urban areas.","Ownership of assets, particularly high-value assets, has many beneficial effects for households, including protection against financial ruin. For women in particular, asset ownership is a source of economic empowerment and provides protection in the case of marital dissolution or abandonment. There is increasing evidence that ownership of property by women has positive consequences for women’s empowerment, nutritional and health outcomes, and children’s schooling.","","","","Open",
"SG.OWN.LDNO.FE.Q1.ZS","Gender","Women who do not own land (% of women age 15-49): Q1 (lowest)","","Women who do not own land (% of women age 15-49): Q1 (lowest) is the percentage of women age 15-49 who don’t own any land, which legally registered with their name or cannot be sold without their signature, either solely or jointly with someone else or both. Each wealth quintile represents one fifth of households with quintile 1 being the poorest 20 percent of households and quintile 5 being the richest 20 percent of households.","","Annual","","","","","","","Demographic and Health Surveys (DHS)","Women who do not own land is the number of women age 15-49 who say they don’t own any land either alone or jointly with someone else or both, expressed as percentage of women age 15-49 who have been interviewed. ‘Ownership’ implies that the land is legally registered in the woman’s name or, since official property records do not always exist or are not maintained, the land is recognized as hers and cannot be sold without her signature or equivalent. ‘land’ includes all agricultural or non-agricultural land. Non-agricultural land refers to rural land that is not used for growing crops, and most land in urban areas.","Ownership of assets, particularly high-value assets, has many beneficial effects for households, including protection against financial ruin. For women in particular, asset ownership is a source of economic empowerment and provides protection in the case of marital dissolution or abandonment. There is increasing evidence that ownership of property by women has positive consequences for women’s empowerment, nutritional and health outcomes, and children’s schooling.","","","","Open",
"SG.OWN.LDNO.FE.Q2.ZS","Gender","Women who do not own land (% of women age 15-49): Q2","","Women who do not own land (% of women age 15-49): Q2 is the percentage of women age 15-49 who don’t own any land, which legally registered with their name or cannot be sold without their signature, either solely or jointly with someone else or both. Each wealth quintile represents one fifth of households with quintile 1 being the poorest 20 percent of households and quintile 5 being the richest 20 percent of households.","","Annual","","","","","","","Demographic and Health Surveys (DHS)","Women who do not own land is the number of women age 15-49 who say they don’t own any land either alone or jointly with someone else or both, expressed as percentage of women age 15-49 who have been interviewed. ‘Ownership’ implies that the land is legally registered in the woman’s name or, since official property records do not always exist or are not maintained, the land is recognized as hers and cannot be sold without her signature or equivalent. ‘land’ includes all agricultural or non-agricultural land. Non-agricultural land refers to rural land that is not used for growing crops, and most land in urban areas.","Ownership of assets, particularly high-value assets, has many beneficial effects for households, including protection against financial ruin. For women in particular, asset ownership is a source of economic empowerment and provides protection in the case of marital dissolution or abandonment. There is increasing evidence that ownership of property by women has positive consequences for women’s empowerment, nutritional and health outcomes, and children’s schooling.","","","","Open",
"SG.OWN.LDNO.FE.Q3.ZS","Gender","Women who do not own land (% of women age 15-49): Q3","","Women who do not own land (% of women age 15-49): Q3 is the percentage of women age 15-49 who don’t own any land, which legally registered with their name or cannot be sold without their signature, either solely or jointly with someone else or both. Each wealth quintile represents one fifth of households with quintile 1 being the poorest 20 percent of households and quintile 5 being the richest 20 percent of households.","","Annual","","","","","","","Demographic and Health Surveys (DHS)","Women who do not own land is the number of women age 15-49 who say they don’t own any land either alone or jointly with someone else or both, expressed as percentage of women age 15-49 who have been interviewed. ‘Ownership’ implies that the land is legally registered in the woman’s name or, since official property records do not always exist or are not maintained, the land is recognized as hers and cannot be sold without her signature or equivalent. ‘land’ includes all agricultural or non-agricultural land. Non-agricultural land refers to rural land that is not used for growing crops, and most land in urban areas.","Ownership of assets, particularly high-value assets, has many beneficial effects for households, including protection against financial ruin. For women in particular, asset ownership is a source of economic empowerment and provides protection in the case of marital dissolution or abandonment. There is increasing evidence that ownership of property by women has positive consequences for women’s empowerment, nutritional and health outcomes, and children’s schooling.","","","","Open",
"SG.OWN.LDNO.FE.Q4.ZS","Gender","Women who do not own land (% of women age 15-49): Q4","","Women who do not own land (% of women age 15-49): Q4 is the percentage of women age 15-49 who don’t own any land, which legally registered with their name or cannot be sold without their signature, either solely or jointly with someone else or both. Each wealth quintile represents one fifth of households with quintile 1 being the poorest 20 percent of households and quintile 5 being the richest 20 percent of households.","","Annual","","","","","","","Demographic and Health Surveys (DHS)","Women who do not own land is the number of women age 15-49 who say they don’t own any land either alone or jointly with someone else or both, expressed as percentage of women age 15-49 who have been interviewed. ‘Ownership’ implies that the land is legally registered in the woman’s name or, since official property records do not always exist or are not maintained, the land is recognized as hers and cannot be sold without her signature or equivalent. ‘land’ includes all agricultural or non-agricultural land. Non-agricultural land refers to rural land that is not used for growing crops, and most land in urban areas.","Ownership of assets, particularly high-value assets, has many beneficial effects for households, including protection against financial ruin. For women in particular, asset ownership is a source of economic empowerment and provides protection in the case of marital dissolution or abandonment. There is increasing evidence that ownership of property by women has positive consequences for women’s empowerment, nutritional and health outcomes, and children’s schooling.","","","","Open",
"SG.OWN.LDNO.FE.Q5.ZS","Gender","Women who do not own land (% of women age 15-49): Q5 (highest)","","Women who do not own land (% of women age 15-49): Q5 (highest) is the percentage of women age 15-49 who don’t own any land, which legally registered with their name or cannot be sold without their signature, either solely or jointly with someone else or both. Each wealth quintile represents one fifth of households with quintile 1 being the poorest 20 percent of households and quintile 5 being the richest 20 percent of households.","","Annual","","","","","","","Demographic and Health Surveys (DHS)","Women who do not own land is the number of women age 15-49 who say they don’t own any land either alone or jointly with someone else or both, expressed as percentage of women age 15-49 who have been interviewed. ‘Ownership’ implies that the land is legally registered in the woman’s name or, since official property records do not always exist or are not maintained, the land is recognized as hers and cannot be sold without her signature or equivalent. ‘land’ includes all agricultural or non-agricultural land. Non-agricultural land refers to rural land that is not used for growing crops, and most land in urban areas.","Ownership of assets, particularly high-value assets, has many beneficial effects for households, including protection against financial ruin. For women in particular, asset ownership is a source of economic empowerment and provides protection in the case of marital dissolution or abandonment. There is increasing evidence that ownership of property by women has positive consequences for women’s empowerment, nutritional and health outcomes, and children’s schooling.","","","","Open",
"SG.OWN.LDNO.FE.ZS","Gender","Women who do not own land (% of women age 15-49)","","Women who do not own land (% of women age 15-49) is the percentage of women age 15-49 who don’t own any land, which legally registered with their name or cannot be sold without their signature, either solely or jointly with someone else or both.","","Annual","","","","","","","Demographic and Health Surveys (DHS)","Women who do not own land is the number of women age 15-49 who say they don’t own any land either alone or jointly with someone else or both, expressed as percentage of women age 15-49 who have been interviewed and It’s derived by dividing the number of women age 15-49 who responded they don’t own any land which legally registered with their name or can’t be sold without their signature by total number of women age 15-49 who have been interviewed. ‘Ownership’ implies that the land is legally registered in the woman’s name or, since official property records do not always exist or are not maintained, the land is recognized as hers and cannot be sold without her signature or equivalent. ‘land’ includes all agricultural or non-agricultural land. Non-agricultural land refers to rural land that is not used for growing crops, and most land in urban areas.","Ownership of assets, particularly high-value assets, has many beneficial effects for households, including protection against financial ruin. For women in particular, asset ownership is a source of economic empowerment and provides protection in the case of marital dissolution or abandonment. There is increasing evidence that ownership of property by women has positive consequences for women’s empowerment, nutritional and health outcomes, and children’s schooling.","","","","Open",
"SG.OWN.LDNO.MA.Q1.ZS","Gender","Men who do not own land (% of men): Q1 (lowest)","","Men who do not own land (% of men): Q1 (lowest) is the percentage of men who don’t own any land, which legally registered with their name or cannot be sold without their signature, either solely or jointly with someone else or both. Each wealth quintile represents one fifth of households with quintile 1 being the poorest 20 percent of households and quintile 5 being the richest 20 percent of households.","","Annual","","","","","","","Demographic and Health Surveys (DHS)","Men who do not own land is the number of men who say they don’t own any land either alone or jointly with someone else or both, expressed as percentage of men who have been interviewed. ‘Ownership’ implies that the land is legally registered in the man's name or, since official property records do not always exist or are not maintained, the land is recognized as his  and cannot be sold without his signature or equivalent. ‘land’ includes all agricultural or non-agricultural land. Non-agricultural land refers to rural land that is not used for growing crops, and most land in urban areas.","Ownership of assets, particularly high-value assets, has many beneficial effects for households, including protection against financial ruin. For women in particular, asset ownership is a source of economic empowerment and provides protection in the case of marital dissolution or abandonment. There is increasing evidence that ownership of property by women has positive consequences for women’s empowerment, nutritional and health outcomes, and children’s schooling.","","","","Open",
"SG.OWN.LDNO.MA.Q2.ZS","Gender","Men who do not own land (% of men): Q2","","Men who do not own land (% of men): Q2 is the percentage of men who don’t own any land, which legally registered with their name or cannot be sold without their signature, either solely or jointly with someone else or both. Each wealth quintile represents one fifth of households with quintile 1 being the poorest 20 percent of households and quintile 5 being the richest 20 percent of households.","","Annual","","","","","","","Demographic and Health Surveys (DHS)","Men who do not own land is the number of men who say they don’t own any land either alone or jointly with someone else or both, expressed as percentage of men who have been interviewed. ‘Ownership’ implies that the land is legally registered in the man's name or, since official property records do not always exist or are not maintained, the land is recognized as his  and cannot be sold without his signature or equivalent. ‘land’ includes all agricultural or non-agricultural land. Non-agricultural land refers to rural land that is not used for growing crops, and most land in urban areas.","Ownership of assets, particularly high-value assets, has many beneficial effects for households, including protection against financial ruin. For women in particular, asset ownership is a source of economic empowerment and provides protection in the case of marital dissolution or abandonment. There is increasing evidence that ownership of property by women has positive consequences for women’s empowerment, nutritional and health outcomes, and children’s schooling.","","","","Open",
"SG.OWN.LDNO.MA.Q3.ZS","Gender","Men who do not own land (% of men): Q3","","Men who do not own land (% of men): Q3 is the percentage of men who don’t own any land, which legally registered with their name or cannot be sold without their signature, either solely or jointly with someone else or both. Each wealth quintile represents one fifth of households with quintile 1 being the poorest 20 percent of households and quintile 5 being the richest 20 percent of households.","","Annual","","","","","","","Demographic and Health Surveys (DHS)","Men who do not own land is the number of men who say they don’t own any land either alone or jointly with someone else or both, expressed as percentage of men who have been interviewed. ‘Ownership’ implies that the land is legally registered in the man's name or, since official property records do not always exist or are not maintained, the land is recognized as his  and cannot be sold without his signature or equivalent. ‘land’ includes all agricultural or non-agricultural land. Non-agricultural land refers to rural land that is not used for growing crops, and most land in urban areas.","Ownership of assets, particularly high-value assets, has many beneficial effects for households, including protection against financial ruin. For women in particular, asset ownership is a source of economic empowerment and provides protection in the case of marital dissolution or abandonment. There is increasing evidence that ownership of property by women has positive consequences for women’s empowerment, nutritional and health outcomes, and children’s schooling.","","","","Open",
"SG.OWN.LDNO.MA.Q4.ZS","Gender","Men who do not own land (% of men): Q4","","Men who do not own land (% of men): Q4 is the percentage of men who don’t own any land, which legally registered with their name or cannot be sold without their signature, either solely or jointly with someone else or both. Each wealth quintile represents one fifth of households with quintile 1 being the poorest 20 percent of households and quintile 5 being the richest 20 percent of households.","","Annual","","","","","","","Demographic and Health Surveys (DHS)","Men who do not own land is the number of men who say they don’t own any land either alone or jointly with someone else or both, expressed as percentage of men who have been interviewed. ‘Ownership’ implies that the land is legally registered in the man's name or, since official property records do not always exist or are not maintained, the land is recognized as his  and cannot be sold without his signature or equivalent. ‘land’ includes all agricultural or non-agricultural land. Non-agricultural land refers to rural land that is not used for growing crops, and most land in urban areas.","Ownership of assets, particularly high-value assets, has many beneficial effects for households, including protection against financial ruin. For women in particular, asset ownership is a source of economic empowerment and provides protection in the case of marital dissolution or abandonment. There is increasing evidence that ownership of property by women has positive consequences for women’s empowerment, nutritional and health outcomes, and children’s schooling.","","","","Open",
"SG.OWN.LDNO.MA.Q5.ZS","Gender","Men who do not own land (% of men): Q5 (highest)","","Men who do not own land (% of men): Q5 (highest) is the percentage of men who don’t own any land, which legally registered with their name or cannot be sold without their signature, either solely or jointly with someone else or both. Each wealth quintile represents one fifth of households with quintile 1 being the poorest 20 percent of households and quintile 5 being the richest 20 percent of households.","","Annual","","","","","","","Demographic and Health Surveys (DHS)","Men who do not own land is the number of men who say they don’t own any land either alone or jointly with someone else or both, expressed as percentage of men who have been interviewed. ‘Ownership’ implies that the land is legally registered in the man's name or, since official property records do not always exist or are not maintained, the land is recognized as his  and cannot be sold without his signature or equivalent. ‘land’ includes all agricultural or non-agricultural land. Non-agricultural land refers to rural land that is not used for growing crops, and most land in urban areas.","Ownership of assets, particularly high-value assets, has many beneficial effects for households, including protection against financial ruin. For women in particular, asset ownership is a source of economic empowerment and provides protection in the case of marital dissolution or abandonment. There is increasing evidence that ownership of property by women has positive consequences for women’s empowerment, nutritional and health outcomes, and children’s schooling.","","","","Open",
"SG.OWN.LDNO.MA.ZS","Gender","Men who do not own land (% of men)","","Men who do not own land (% of men) is the percentage of men who don’t own any land, which legally registered with their name or cannot be sold without their signature, either solely or jointly with someone else or both.","","Annual","","","","","","","Demographic and Health Surveys (DHS)","Men who do not own land is the number of men who say they don’t own any land either alone or jointly with someone else or both, expressed as percentage of men who have been interviewed and It’s derived by dividing the number of men who responded they don’t own any land which legally registered with their name or can’t be sold without their signature by total number of men who have been interviewed. ‘Ownership’ implies that the land is legally registered in the man's name or, since official property records do not always exist or are not maintained, the land is recognized as his  and cannot be sold without his signature or equivalent. ‘land’ includes all agricultural or non-agricultural land. Non-agricultural land refers to rural land that is not used for growing crops, and most land in urban areas.","Ownership of assets, particularly high-value assets, has many beneficial effects for households, including protection against financial ruin. For women in particular, asset ownership is a source of economic empowerment and provides protection in the case of marital dissolution or abandonment. There is increasing evidence that ownership of property by women has positive consequences for women’s empowerment, nutritional and health outcomes, and children’s schooling.","","","","Open",
"SG.OWN.PRRT.MR","Gender","Married men and married women have equal ownership rights to property (1=yes; 0=no)","Married men and married women have equal ownership rights to property is whether married men and married women have equal ownership rights to property.","Married men and married women have equal ownership rights to property is whether both married men and married women have the same ownership rights to property. Ownership rights as used here covers the ability to manage, control, administer, access, encumber, receive, dispose of and transfer property. The answer is “Yes” when there is no specific legal restriction related to property applied to married women or men based on gender. The answer is “No” when there are gender differences in the legal treatment of spousal property, for example, if husbands are granted administrative control over marital property.","","Annual","","","","","","","World Bank, Women, Business and the Law.","","","","","","Open",
"SG.POP.MIGR.FE.ZS","Social Protection & Labor: Migration","Female migrants (% of international migrant stock)","Percentage of female migrants out of total international migrant stock","Percentage of female migrants out of total international migrant stock. International migrant stock is the number of people born in a country other than that in which they live. It also includes refugees.","","Annual","","","","In estimating the international migrant stock, international migrants have been equated with the foreign-born population whenever this information is available, which is the case in most countries or areas. In most countries lacking data on place of birth, information on the country of citizenship of those enumerated was available, and was used as the basis for the identification of international migrants, thus effectively equating, in these cases, international migrants with foreign citizens. Equating international migrants with foreign citizens when estimating the migrant stock has important shortcomings. In countries where citizenship is conferred on the basis of jus sanguinis, people who were born in the country of residence may be included in the number of international migrants even though they may have never lived abroad. Conversely, persons who were born abroad and who naturalized in their country of residence are excluded from the stock of international migrants when using citizenship as the criterion to define international migrants. Using country of citizenship as the basis for the identification of international migrants has also an impact on the age distribution of international migrants. In countries where citizenship is conferred mainly on the basis of jus sanguinis, children born to international migrants tend to be considered foreign citizens and are thus included in the count of international migrants. Conversely, in countries where citizenship is conferred mainly on the basis of jus soli, children born to international migrants are granted citizenship upon birth and are thus excluded from the migrant stock.","","","United Nations Population Division, Trends in International Migrant Stock: 2015 Revision.","Most of the data used to estimate the international migrant stock by country or area were obtained from population censuses. Additionally, population registers and nationally representative surveys provided information on the number and composition of international migrants.  In estimating the international migrant stock, international migrants have been equated with the foreign-born population whenever this information is available, which is the case in most countries or areas. In most countries lacking data on place of birth, information on the country of citizenship of those enumerated was available, and was used as the basis for the identification of international migrants, thus effectively equating, in these cases, international migrants with foreign citizens. Among the 232 countries or areas included in the 2015 revision of International Migrant Stock, 92 per cent had at least one data source on the total migrant stock since the 2000 census round. For countries or areas with at least two data points, interpolation or extrapolation was used to estimate the migrant stock for the six reference years from 1990 to 2015. To estimate the total migrant stock for countries or areas with only one data source, the growth rates of the total migrant stock in the relevant major area or region were used, where appropriate, to estimate changes in migrant stock levels.","","","","","Open",
"SG.RSX.BRTH.Q1.ZS","Gender","Women who believe a wife is justified refusing sex with her husband if she has recently given birth (%): Q1 (lowest)","","Percentage of women aged 15-49 who believe that a wife is justified in refusing to have sex with her husband if she has recently given birth. Each wealth quintile represents one fifth of households with quintile 1 being the poorest 20 percent of households and quintile 5 being the richest 20 percent of households.","","Annual","","","","","","","Demographic and Health Surveys (DHS)","","","","","","Open",
"SG.RSX.BRTH.Q2.ZS","Gender","Women who believe a wife is justified refusing sex with her husband if she has recently given birth (%): Q2","","Percentage of women aged 15-49 who believe that a wife is justified in refusing to have sex with her husband if she has recently given birth. Each wealth quintile represents one fifth of households with quintile 1 being the poorest 20 percent of households and quintile 5 being the richest 20 percent of households.","","Annual","","","","","","","Demographic and Health Surveys (DHS)","","","","","","Open",
"SG.RSX.BRTH.Q3.ZS","Gender","Women who believe a wife is justified refusing sex with her husband if she has recently given birth (%): Q3","","Percentage of women aged 15-49 who believe that a wife is justified in refusing to have sex with her husband if she has recently given birth. Each wealth quintile represents one fifth of households with quintile 1 being the poorest 20 percent of households and quintile 5 being the richest 20 percent of households.","","Annual","","","","","","","Demographic and Health Surveys (DHS)","","","","","","Open",
"SG.RSX.BRTH.Q4.ZS","Gender","Women who believe a wife is justified refusing sex with her husband if she has recently given birth (%): Q4","","Percentage of women aged 15-49 who believe that a wife is justified in refusing to have sex with her husband if she has recently given birth. Each wealth quintile represents one fifth of households with quintile 1 being the poorest 20 percent of households and quintile 5 being the richest 20 percent of households.","","Annual","","","","","","","Demographic and Health Surveys (DHS)","","","","","","Open",
"SG.RSX.BRTH.Q5.ZS","Gender","Women who believe a wife is justified refusing sex with her husband if she has recently given birth (%): Q5 (highest)","","Percentage of women aged 15-49 who believe that a wife is justified in refusing to have sex with her husband if she has recently given birth. Each wealth quintile represents one fifth of households with quintile 1 being the poorest 20 percent of households and quintile 5 being the richest 20 percent of households.","","Annual","","","","","","","Demographic and Health Surveys (DHS)","","","","","","Open",
"SG.RSX.BRTH.ZS","Gender","Women who believe a wife is justified refusing sex with her husband if she has recently given birth (%)","","Percentage of women aged 15-49 who believe that a wife is justified in refusing to have sex with her husband if she has recently given birth.","","Annual","","","","","","","Demographic and Health Surveys (DHS)","","","","","","Open",
"SG.RSX.NORS.Q1.ZS","Gender","Women who believe a wife is justified refusing sex with her husband for none of the reasons (%): Q1 (lowest)","","Percentage of women aged 15-49 who believe that a wife is justified in refusing to have sex with her husband for none of the reasons: husband has sexually transmitted disease, husband has sex with other women, recently given birth, tired or not in the mood. Each wealth quintile represents one fifth of households with quintile 1 being the poorest 20 percent of households and quintile 5 being the richest 20 percent of households.","","Annual","","","","","","","Demographic and Health Surveys (DHS)","","","","","","Open",
"SG.RSX.NORS.Q2.ZS","Gender","Women who believe a wife is justified refusing sex with her husband for none of the reasons (%): Q2","","Percentage of women aged 15-49 who believe that a wife is justified in refusing to have sex with her husband for none of the reasons: husband has sexually transmitted disease, husband has sex with other women, recently given birth, tired or not in the mood. Each wealth quintile represents one fifth of households with quintile 1 being the poorest 20 percent of households and quintile 5 being the richest 20 percent of households.","","Annual","","","","","","","Demographic and Health Surveys (DHS)","","","","","","Open",
"SG.RSX.NORS.Q3.ZS","Gender","Women who believe a wife is justified refusing sex with her husband for none of the reasons (%): Q3","","Percentage of women aged 15-49 who believe that a wife is justified in refusing to have sex with her husband for none of the reasons: husband has sexually transmitted disease, husband has sex with other women, recently given birth, tired or not in the mood. Each wealth quintile represents one fifth of households with quintile 1 being the poorest 20 percent of households and quintile 5 being the richest 20 percent of households.","","Annual","","","","","","","Demographic and Health Surveys (DHS)","","","","","","Open",
"SG.RSX.NORS.Q4.ZS","Gender","Women who believe a wife is justified refusing sex with her husband for none of the reasons (%): Q4","","Percentage of women aged 15-49 who believe that a wife is justified in refusing to have sex with her husband for none of the reasons: husband has sexually transmitted disease, husband has sex with other women, recently given birth, tired or not in the mood. Each wealth quintile represents one fifth of households with quintile 1 being the poorest 20 percent of households and quintile 5 being the richest 20 percent of households.","","Annual","","","","","","","Demographic and Health Surveys (DHS)","","","","","","Open",
"SG.RSX.NORS.Q5.ZS","Gender","Women who believe a wife is justified refusing sex with her husband for none of the reasons (%): Q5 (highest)","","Percentage of women aged 15-49 who believe that a wife is justified in refusing to have sex with her husband for none of the reasons: husband has sexually transmitted disease, husband has sex with other women, recently given birth, tired or not in the mood. Each wealth quintile represents one fifth of households with quintile 1 being the poorest 20 percent of households and quintile 5 being the richest 20 percent of households.","","Annual","","","","","","","Demographic and Health Surveys (DHS)","","","","","","Open",
"SG.RSX.NORS.ZS","Gender","Women who believe a wife is justified refusing sex with her husband for none of the reasons (%)","","Percentage of women aged 15-49 who believe that a wife is justified in refusing to have sex with her husband for none of the reasons: husband has sexually transmitted disease, husband has sex with other women, recently given birth, tired or not in the mood.","","Annual","","","","","","","Demographic and Health Surveys (DHS)","","","","","","Open",
